str,en_US,ar_DZ,de_DE,ru_RU,es_ES,fr_FR,it_IT,ja_JP,ko_KR,nl_NL,pt_PT,zh_CN,zh_TW,hi_IN,sv_SE,cs_CZ,fi_FI,pl_PL,tr_TR,vi_VN,uk_UA,ro_RO,hu_HU,el_GR,da_DK,he_IL,nb_NO,id_ID,sk_SK,th_TH,sl_SI,lt_LT,lv_LV,et_EE,fa_IR,bg_BG,sr_RS,hr_HR,sw_KE
invitation.copied_to_clipboard,Invitation link copied to clipboard,رابط دعوة نسخ إلى الحافظة,Einladungslink in die Zwischenablage kopiert,Ссылка приглашения скопирована в буфер обмена,Enlace de invitación copiado al portapapeles,Lien d'invitation copié au presse-papiers,Link di invito copiato negli appunti,クリップボードにコピーされた招待リンク,초대장 링크는 클립 보드에 복사되었습니다,Uitnodigingslink gekopieerd naar klembord,Link de convite copiado para a área de transferência,邀请链接复制到剪贴板,邀請鏈接複製到剪貼板,आमंत्रण लिंक क्लिपबोर्ड के लिए कॉपी किया गया,Inbjudan länk kopierad till urklipp,Pozvávací odkaz zkopírovaný do schránky,Kutsu -linkki kopioitu leikepöydälle,Link zaproszenia skopiowany do schowka,Panoya kopyalanan davet bağlantısı,Liên kết lời mời được sao chép vào bảng tạm,Посилання на запрошення скопіюється в буфер обміну,Link de invitație copiat în clipboard,A vágólapra másolt meghívási link,Σύνδεσμος πρόσκλησης που αντιγράφηκε στο πρόχειρο,Invitation Link kopieret til udklipsholder,קישור הזמנה שהועתק ללוח,Invitasjonslenke kopiert til utklippstavlen,Tautan undangan yang disalin ke clipboard,Odkaz na pozvanie skopírovaný do schránky,ลิงค์คำเชิญคัดลอกไปยังคลิปบอร์ด,Povezava s povabilom Kopirano v odložišče,Kvietimo nuoroda nukopijuota į mainų sritį,Ielūguma saite kopēta starpliktuvē,Kutselink kopeeriti lõikelauale,پیوند دعوت کپی شده در کلیپ بورد,"Връзка за покана, копирана в клипборда",Линк за позивницу копирано у међуспремник,Pozivnici kopirani u međuspremnik,Kiunga cha mwaliko kinakiliwa kwa clipboard
invitation.create.failed,Invitation successfully created.,دعوة تم إنشاؤها بنجاح.,Einladung erfolgreich erstellt.,Приглашение успешно создано.,Invitación creada con éxito.,Invitation créée avec succès.,Invito creato con successo.,招待状は正常に作成されました。,초대가 성공적으로 만들어졌습니다.,Uitnodiging succesvol gecreëerd.,Convite criado com sucesso.,邀请成功创建。,邀請成功創建。,आमंत्रण सफलतापूर्वक बनाया गया।,Inbjudan skapades framgångsrikt.,Pozvánka úspěšně vytvořená.,Kutsu onnistuneesti luotu.,Zaproszenie pomyślnie utworzone.,Davetiye başarıyla oluşturuldu.,Lời mời được tạo thành công.,Запрошення успішно створено.,Invitație creată cu succes.,Meghívó sikeresen létrehozott.,Η πρόσκληση δημιουργήθηκε με επιτυχία.,Invitation oprettet med succes.,ההזמנה שנוצרה בהצלחה.,Invitasjon med hell opprettet.,Undangan berhasil dibuat.,Pozvánka bola úspešne vytvorená.,คำเชิญสร้างสำเร็จ,Vabilo uspešno ustvarjeno.,Kvietimas sėkmingai sukurtas.,Uzaicinājums veiksmīgi izveidots.,Kutse loodud edukalt.,دعوت با موفقیت ایجاد شده است.,Покана успешно създадена.,Позив је успешно креиран.,Pozivnica uspješno stvorena.,Mwaliko ulioundwa kwa mafanikio.
invitation.create.new,Create new invitation,إنشاء دعوة جديدة,Neue Einladung erstellen,Создать новое приглашение,Crea una nueva invitación,Créer une nouvelle invitation,Crea nuovo invito,新しい招待状を作成します,새로운 초대를 만듭니다,Creëer nieuwe uitnodiging,Crie novo convite,创建新邀请,創建新邀請,नया निमंत्रण बनाएं,Skapa ny inbjudan,Vytvořte nové pozvánky,Luo uusi kutsu,Utwórz nowe zaproszenie,Yeni Davet Oluşturun,Tạo lời mời mới,Створіть нове запрошення,Creați o nouă invitație,Hozzon létre új meghívót,Δημιουργήστε νέα πρόσκληση,Opret ny invitation,צור הזמנה חדשה,Lag ny invitasjon,Buat undangan baru,Vytvorte nové pozvanie,สร้างคำเชิญใหม่,Ustvari novo povabilo,Sukurkite naują kvietimą,Izveidojiet jaunu ielūgumu,Looge uus kutse,دعوت جدید ایجاد کنید,Създайте нова покана,Креирајте нови позив,Stvorite novu pozivnicu,Unda mwaliko mpya
invitation.create.success,Failed to create invitation...are you online?,فشل في إنشاء دعوة ... هل أنت متصل؟,Einladung nicht erstellt ... sind Sie online?,Не удалось создать приглашение ... вы в сети?,No se pudo crear invitación ... ¿estás en línea?,Échec de la création d'invitation ... êtes-vous en ligne?,Non è riuscito a creare invito ... sei online?,招待状の作成に失敗しました...あなたはオンラインですか？,초대장을 만들지 못했습니다 ... 온라인입니까?,Kan je niet uitnodigen ... ben je online?,Falhou em criar convite ... você está online?,未能创建邀请...您在线吗？,未能創建邀請...您在線嗎？,निमंत्रण बनाने में विफल ... क्या आप ऑनलाइन हैं?,Det gick inte att skapa inbjudan ... är du online?,Nepodařilo se vytvořit pozvání ... Jste online?,Kutsun luominen epäonnistui ... oletko verkossa?,Nie udało się stworzyć zaproszenia ... czy jesteś online?,Davetiye oluşturamadı ... Çevrimiçi misiniz?,Không thể tạo lời mời ... Bạn có trực tuyến không?,Не вдалося створити запрошення ... Ви в Інтернеті?,Nu ai reușit să creezi invitație ... ești online?,Nem sikerült meghívást létrehozni ... online vagy?,Αποτυχία δημιουργίας πρόσκλησης ... είστε συνδεδεμένοι;,Kunne ikke oprette invitation ... er du online?,נכשל ביצירת הזמנה ... האם אתה מקוון?,Kunne ikke lage invitasjon ... er du online?,Gagal membuat undangan ... apakah Anda online?,Nepodarilo sa vám vytvoriť pozvanie ... ste online?,ไม่สามารถสร้างคำเชิญ ... คุณออนไลน์หรือไม่?,Ni uspelo ustvariti povabila ... ste na spletu?,Nepavyko sukurti kvietimo ... ar esate internete?,Neizdevās izveidot ielūgumu ... vai jūs esat tiešsaistē?,Kutse loomine ebaõnnestus ... kas olete võrgus?,نتوانستید دعوت را ایجاد کنید ... آیا شما آنلاین هستید؟,Неуспешно създаване на покана ... Онлайн ли сте?,Није успело креирање позива ... Да ли сте на мрежи?,Nije uspio stvoriti pozivnicu ... Jeste li na mreži?,Imeshindwa kuunda mwaliko ... uko mkondoni?
invitation.expiration_message,Expires in {} days.,تنتهي في {} أيام.,Läuft in {} Tagen ab.,Истекает в дни {}.,Expira en {} días.,Expire en {} jours.,Scade in {} giorni.,{}日に期限切れになります。,{} 일에 만료됩니다.,Verloopt in {} dagen.,Expira em {} dias.,在{}天到期。,在{}天到期。,{} दिनों में समाप्त हो रहा है।,Löper ut under {} dagar.,Vyprší za {} dny.,Päättyy {} päivinä.,Wygasa w {} dni.,{} Günlerinde sona erer.,Hết hạn trong {} ngày.,Закінчується в {} дні.,Expiră în {} zile.,A {} napokban lejár.,Λήγει σε {} ημέρες.,Udløber i {} dage.,פג תוקף בימים {}.,Utløper om {} dager.,Kedaluwarsa dalam {} hari.,Vyprší v dňoch {}.,หมดอายุในวัน {},Poteče v {} dneh.,Pasibaigia {} dienomis.,Derīguma termiņš ir {} dienās.,Aegub {} päevadel.,در روزهای {منقضی می شود.,Изтича в {} дни.,Истиче у {} данима.,Istječe u {} danima.,Inamalizika kwa siku {}.
invitation.greeting,Hey {},يا {},Hey {},Привет {},Ey {},Hé {},EHI {},おい {},여기요 {},Hoi {},Ei {},嘿 {},嘿 {},अरे {},Hallå {},Ahoj {},Hei {},Hej {},Hey {},Chào {},Гей {},Hei {},Hé {},Γεια {},Hej {},היי {},Hei {},Hai {},Hej {},เฮ้ {},Zdravo {},Ei {},Hei {},Hei {},سلام {},Хей {},Хеј {},Hej {},Hey {}
invitation.input_field.invitee_name,Invitee name,دعوة اسم,Namen einladen,Приглашение имени,Nombre del invitado,Nom invité,Nome invitato,招待者の名前,초대 이름,Innodigde naam,Nome do convite,邀请人名称,邀請人名稱,आमंत्रित नाम,Inbjudan namn,Jméno pozvání,Kutsunimi,ZAPROBIONA Nazwa,Davet adı,Tên mời,Запросити назву,Numele invitației,Meghívó neve,Όνομα προσκεκλημένης,Invitee -navn,שם הזמנה,Invitee Name,Nama undangan,Pozvané meno,ชื่อเชิญ,Ime povabilo,Kvietimo vardas,Uzaicinātais vārds,Kutse nimi,نام دعوت,Име на покана,Назив позива,Ime pozivnice,Jina la Mwaliko
invitation.invite_someone,Invite someone,دعا شخص ما,Lade jemanden ein,Пригласить кого -нибудь,Invita a alguien,Inviter quelqu'un,Invita qualcuno,誰かを招待します,누군가를 초대하십시오,Iemand uitnodigen,Convidar alguém,邀请某人,邀請某人,किसी को आमंत्रित,Bjuda in någon,Pozvěte někoho,Kutsu joku,Zaproś kogoś,Birini davet etmek,Mời ai đó,Запросити когось,Invită pe cineva,Hívjon meg valakit,Προσκαλέστε κάποιον,Inviter nogen,להזמין מישהו,Inviter noen,Mengundang seseorang,Pozvite niekoho,เชิญใครบางคน,Povabi nekoga,Pakviesti ką nors,Uzaicināt kādu,Kutsuge kedagi,کسی را دعوت کنید,Поканете някого,Позовите некога,Pozvati nekoga,Alika mtu
invitation.join_me_message,Join me on ChatBond here: {},انضم إلي على chatbond هنا: {},Machen Sie sich hier auf Chatbond: {},Присоединяйтесь ко мне на чат -бонде здесь: {},Únete a mí en chatbond aquí: {},Rejoignez-moi sur chatbond ici: {},Unisciti a me su Chatbond qui: {},ここでチャットボンドに参加してください：{},여기에 챗든에 참여하십시오 : {},Doe mee op chatbond hier: {},Junte -se a mim no chatbond aqui: {},在这里加入我的chatbond：{},在這裡加入我的chatbond：{},मुझे यहाँ चैटबॉन्ड पर शामिल करें: {},Gå med mig på chatbond här: {},Připojte se ke mně na Chatbond zde: {},Liity minuun chatbondiin täällä: {},Dołącz do mnie na Chatbond tutaj: {},Chatbond'da bana katılın: {},Tham gia với tôi trên chatbond tại đây: {},Приєднуйтесь до мене на чатбонд тут: {},Alăturați -mă pe chatbond aici: {},Csatlakozzon hozzám a chatbondon itt: {},Ελάτε μαζί μου στο chatbond εδώ: {},Deltag i chatbond her: {},הצטרף אלי ב- Chatbond כאן: {},Bli med meg på chatbond her: {},Bergabunglah dengan saya di Chatbond di sini: {},Pripojte sa ku mne na chatbond tu: {},เข้าร่วมกับฉันใน chatbond ที่นี่: {},Pridružite se mi na chatbondu tukaj: {},Prisijunkite prie manęs „ChatBond“ čia: {},Pievienojieties man vietnē Chatbond šeit: {},Liituge minuga siin Chatbond: {},به من در Chatbond در اینجا بپیوندید: {},Присъединете се към мен в Chatbond тук: {},Придружите ми се на Цхатбонд-у овде: {},Pridružite mi se na chatbondu ovdje: {},Jiunge nami kwenye Chatbond hapa: {}
invitation.link_not_available,Link not available,الرابط غير متوفر,Link nicht verfügbar,Ссылка недоступна,Enlace no disponible,Lien non disponible,Link non disponibile,リンクは使用できません,링크를 사용할 수 없습니다,Link niet beschikbaar,Link não disponível,链接不可用,鏈接不可用,लिंक उपलब्ध नहीं है,Länk inte tillgänglig,Odkaz není k dispozici,Linkki ei ole saatavilla,Link niedostępny,Bağlantı mevcut değil,Liên kết không có sẵn,Посилання недоступне,Link nu este disponibil,A link nem érhető el,Ο σύνδεσμος δεν είναι διαθέσιμος,Link ikke tilgængeligt,קישור לא זמין,Lenke ikke tilgjengelig,Tautan tidak tersedia,Odkaz nie je k dispozícii,ลิงค์ไม่พร้อมใช้งาน,Povezava ni na voljo,Nuoroda negalima,Saite nav pieejama,Link pole saadaval,لینک موجود نیست,Връзката не е налична,Линк није доступан,Veza nije dostupna,Kiunga hakipatikani
invitation.new_conversation,New conversation,محادثة جديدة,Neues Gespräch,Новый разговор,Nueva conversación,Nouvelle conversation,Nuova conversazione,新しい会話,새로운 대화,Nieuw gesprek,Nova conversa,新对话,新對話,नई बातचीत,Ny konversation,Nová konverzace,Uusi keskustelu,Nowa rozmowa,Yeni Sohbet,Cuộc trò chuyện mới,Нова розмова,Noua conversație,Új beszélgetés,Νέα συνομιλία,Ny samtale,שיחה חדשה,Ny samtale,Percakapan baru,Nový rozhovor,บทสนทนาใหม่,Nov pogovor,Naujas pokalbis,Jauna saruna,Uus vestlus,مکالمه جدید,Нов разговор,Нови разговор,Novi razgovor,Mazungumzo mapya
invitation.share_invitation,Share invitation,مشاركة الدعوة,Einladung teilen,Поделиться приглашением,Invitación de compartir,Partager l'invitation,Condividi l'invito,招待状を共有します,초대장을 공유하십시오,Deel uitnodiging,Compartilhe convite,分享邀请,分享邀請,शेयर निमंत्रण,Dela inbjudan,Sdílet pozvání,Jaa kutsu,Udostępnij zaproszenie,Paylaş Davet,Lời mời chia sẻ,Поділіться запрошенням,Împărtășește invitația,Meghívás megosztása,Μοιραστείτε πρόσκληση,Del invitation,הזמנה לשתף,Del invitasjon,Bagikan undangan,Zdieľať pozvanie,แบ่งปันคำเชิญ,Delite vabilo,Dalinkitės kvietimu,Dalīties ielūgumā,Jagama,دعوت مشترک,Споделете покана,Позив за поделу,Podijelite pozivnicu,Shiriki mwaliko
invitation.sharing_instructions,Share the invitation text below with the person you want to connect,شارك نص الدعوة أدناه مع الشخص الذي تريد الاتصال,"Teilen Sie den folgenden Einladungstext mit der Person, die Sie verbinden möchten","Поделитесь приглашением ниже текста с человеком, которого вы хотите подключить",Comparta el texto de la invitación a continuación con la persona que desea conectar,Partagez le texte d'invitation ci-dessous avec la personne que vous souhaitez connecter,Condividi il testo di invito qui sotto con la persona che si desidera connettere,以下の招待状のテキストを接続したい人と共有する,아래의 초대장 텍스트를 연결하려는 사람과 공유하십시오.,Deel de onderstaande uitnodigingstekst met de persoon die u wilt aansluiten,Compartilhe o texto de convite abaixo com a pessoa que você deseja conectar,与您想连接的人分享下面的邀请文本,與您想連接的人分享下面的邀請文本,उस व्यक्ति के साथ नीचे दिए गए निमंत्रण पाठ को साझा करें जिसे आप कनेक्ट करना चाहते हैं,Dela inbjudningstexten nedan med den person du vill ansluta,"Sdílejte níže uvedený text pozvánky s osobou, kterou chcete připojit","Jaa alla oleva kutsuteksti henkilön kanssa, jonka haluat muodostaa yhteyden","Udostępnij poniższy tekst zaproszenia z osobą, którą chcesz połączyć",Aşağıdaki davet metnini bağlamak istediğiniz kişiyle paylaşın,Chia sẻ văn bản lời mời bên dưới với người bạn muốn kết nối,"Поділіться текстом запрошення нижче з людиною, яку ви хочете підключити",Partajați textul de invitație de mai jos cu persoana pe care doriți să o conectați,"Ossza meg az alábbi meghívó szöveget azzal a személyrel, akit csatlakozni szeretne",Μοιραστείτε το παρακάτω κείμενο πρόσκλησης με το άτομο που θέλετε να συνδεθείτε,"Del invitationsteksten nedenfor med den person, du vil oprette forbindelse",שתף את טקסט ההזמנה למטה עם האדם שאתה רוצה להתחבר,Del invitasjonsteksten nedenfor med personen du vil koble til,Bagikan teks undangan di bawah ini dengan orang yang ingin Anda hubungkan,"Zdieľajte text pozvánky nižšie s osobou, ktorej sa chcete pripojiť",แบ่งปันข้อความเชิญด้านล่างกับบุคคลที่คุณต้องการเชื่อมต่อ,"Spodaj delite besedilo vabila z osebo, ki jo želite povezati","Pasidalykite žemiau pateiktu kvietimo tekstu su asmeniu, kurį norite prisijungti","Kopīgojiet zemāk esošo ielūguma tekstu ar personu, kuru vēlaties izveidot savienot","Jagage allolevat kutseteksti inimesega, keda soovite ühendada",متن دعوت زیر را با شخصی که می خواهید به هم وصل کنید به اشتراک بگذارید,"Споделете текста за покана по -долу с човека, когото искате да свържете",Делите текст позива испод са особом коју желите да повежете,Podijelite tekst pozivnice u nastavku s osobom koju želite povezati,Shiriki maandishi ya mwaliko hapa chini na mtu unayetaka kuungana
login.authentication_failed,Authentication failed,المصادقة فشلت,Authentifizierung fehlgeschlagen,Аутентификация не удалась,La autenticación falló,Authentification échouée,Autenticazione fallita,認証に失敗しました,인증 실패,Authenticatie is mislukt,Autenticação falhou,身份验证失败,身份驗證失敗,प्रमाणीकरण विफल होना,Autentisering misslyckades,Ověření se nezdařilo,Todennus epäonnistui,Uwierzytelnianie nie powiodło się,Kimlik doğrulama başarısız oldu,Quá trình xác thực đã thất bại,Автентифікація не вдалася,Autentificare esuata,Hitelesítés nem sikerült,Η ταυτοποίηση απέτυχε,Godkendelse mislykkedes,אימות נכשל,Autentisering mislyktes,Otentikasi gagal,Overenie zlyhalo,รับรองความถูกต้องล้มเหลว,Preverjanje pristnosti ni uspelo,Autentifikavimas nepavyko,Autentifikācija neizdevās,Tuvastamine ebaõnnestus,احراز هویت انجام نشد,Неуспешна идентификация,Аутентификација није успела,Provjera autentičnosti nije uspjela,Uthibitishaji umeshindwa
login.dont_have_an_account_question,Don't have an account yet?,لا تملك حسابا حتى الآن؟,Haben Sie noch keinen Account?,Уже нет аккаунта?,¿No tienes una cuenta todavía?,Vous n'avez pas encore de compte?,Non hai ancora un conto?,まだアカウントを持っていませんか？,아직 계정이 없습니까?,Heb je nog geen account?,Não tem uma conta ainda?,还没有帐户吗？,還沒有帳戶嗎？,अब तक कोई खाता नहीं है?,Har du inte ett konto än?,Ještě nemáte účet?,Eikö sinulla ole vielä tiliä?,Nie masz jeszcze konta?,Henüz bir hesabınız yok mu?,Vẫn chưa có tài khoản?,Ще не маєте облікового запису?,Nu aveți încă un cont?,Még nincs fiókja?,Δεν έχετε ακόμη λογαριασμό;,Har du ikke en konto endnu?,עדיין אין לך חשבון?,Har du ikke en konto ennå?,Belum punya akun?,Nemáte ešte účet?,อย่ามีบัญชีหรือยัง?,Še nimate računa?,Dar neturite sąskaitos?,Vai jums vēl nav konta?,Kas teil pole veel kontot?,حساب کاربری ندارید؟,Все още нямате акаунт?,Још немате рачун?,Još nemate račun?,Bado hauna akaunti?
